frame    mol0
    0      NA
    1   0.309
    2   0.321
    3   0.310
    4   0.280
    5   0.582
    6   0.737
    7   0.800
    8   0.744
    9   0.775
   10   0.788
   11   0.795
   12   0.722
   13   0.725
   14   0.932
   15   0.798
   16   0.810
   17   0.769
   18   0.667
   19   0.738
   20   0.722
   21   0.749
   22   0.707
   23   0.700
   24   0.655
   25   0.853
   26   0.711
   27   0.851
   28   0.688
   29   0.724
   30   0.775
   31   0.769
   32   0.698
   33   0.782
   34   0.727
   35   0.727
   36   0.724
   37   0.710
   38   0.853
   39   0.802
   40   0.741
   41   0.780
   42   0.694
   43   0.789
   44   0.706
   45   0.657
   46   0.761
   47   0.727
   48   0.739
   49   0.672
   50   0.656
   51   0.688
   52   0.864
   53   0.701
   54   0.796
   55   0.755
   56   0.657
   57   0.693
   58   0.816
   59   0.779
   60   0.669
   61   0.658
   62   0.647
   63   0.763
   64   0.686
   65   0.752

